Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
58371,Saloon,1200000,1,04/30/19,"11 1st St, Thika, MA, 73301"
58372,Harrier,2500000,1,04/10/19,"692 park St, Thika, MA, 73301"
58373,Voxy Wagon,4500000,1,04/29/19,"766 park St, Nakuru, NY, 11000"
58374,Harrier,2500000,1,04/29/19,"314 Pine St, Nairobi, CA, 10100"
58375,Mazda,900000,1,04/10/19,"589 5th St, Kianyaga, KI, 04101"
58376,Saloon,1200000,1,04/15/19,"396 Pine St, Eldoret, EL, 20345"
58377,Mazda,900000,1,04/06/19,"515 8th St, Nairobi, CA, 10100"
58378,Harrier,2500000,1,04/06/19,"30 1st St, Nakuru, NY, 11000"
58379,Wish,1400000,1,04/26/19,"565 8th St, Upperhill, UH, 90001"
58380,Wish,1400000,1,04/05/19,"662 1st St, Westland, WL, 23543"
58381,BMW,5000000,1,04/28/19,"182 Maple St, Upperhill, UH, 90001"
58382,Mazda,900000,1,04/16/19,"747 Pine St, Nakuru, NY, 11000"
58383,Range Rover,17000000,1,04/03/19,"277 Pine St, Nairobi, CA, 10100"
58384,Wish,1400000,1,04/11/19,"161 Main St, Westland, WL, 23543"
58385,Wish,1400000,1,04/12/19,"472 5th St, Westland, WL, 23543"
58386,Mazda,900000,1,04/15/19,"499 Pine St, Westland, WL, 23543"
58387,Prado TX,4000000,1,04/05/19,"181 Pine St, Thika, MA, 73301"
58388,Van,2000000,1,04/20/19,"314 2nd St, Nairobi, CA, 10100"
58389,Mercides,8000000,1,04/16/19,"692 7th St, Kiambu, KA, 98200"
58390,Saloon,1200000,1,04/21/19,"724 5th St, Upperhill, UH, 90001"
58391,Mercides,8000000,1,04/15/19,"705 5th St, Kianyaga, KI, 04101"
58392,Mazda,900000,1,04/14/19,"286 8th St, Nairobi, CA, 10100"
58393,Wish,1400000,1,04/14/19,"699 2nd St, Nairobi, CA, 10100"
58394,Voxy Wagon,4500000,1,04/11/19,"173 1st St, Upperhill, UH, 90001"
58395,Prado TX,4000000,1,04/01/19,"303 4th St, Juja, JJ, 34532"
58396,Saloon,1200000,1,04/16/19,"148 Maple St, Juja, JJ, 34532"
58397,Saloon,1200000,1,04/09/19,"775 8th St, Nairobi, CA, 10100"
58398,Mercides,8000000,1,04/17/19,"772 Pine St, Westland, WL, 23543"
58399,Mazda,900000,1,04/16/19,"423 1st St, Eldoret, EL, 20345"
58400,Lexus,7500000,1,04/27/19,"124 6th St, Upperhill, UH, 90001"
58401,Mazda,900000,1,04/08/19,"527 1st St, Nairobi, CA, 10100"
58402,Saloon,1200000,1,04/06/19,"464 6th St, Thika, MA, 73301"
58403,Saloon,1200000,1,04/23/19,"629 1st St, Westland, WL, 23543"
58404,Range Rover,17000000,1,04/29/19,"36 Main St, Westland, WL, 23543"
58405,Harrier,2500000,1,04/18/19,"107 Pine St, Thika, MA, 73301"
58406,Harrier,2500000,1,04/05/19,"193 park St, Thika, MA, 73301"
58407,Mercides,8000000,1,04/06/19,"558 2nd St, Nairobi, CA, 10100"
58408,Saloon,1200000,1,04/02/19,"769 8th St, Nairobi, CA, 10100"
58409,Mazda,900000,1,04/25/19,"96 7th St, Thika, MA, 73301"
58410,Saloon,1200000,1,04/11/19,"227 Pine St, Kianyaga, KI, 04101"
58411,Saloon,1200000,1,04/07/19,"197 6th St, Upperhill, UH, 90001"
58412,Mazda,900000,1,04/27/19,"601 7th St, Eldoret, EL, 20345"
58413,Wish,1400000,1,04/26/19,"745 Pine St, Kianyaga, KI, 04101"
58414,Harrier,2500000,1,04/05/19,"161 Main St, Nairobi, CA, 10100"
58415,Mercides,8000000,1,04/12/19,"677 Maple St, Nairobi, CA, 10100"
58416,Voxy Wagon,4500000,1,04/24/19,"94 Main St, Westland, WL, 23543"
58417,Mercides,8000000,1,04/16/19,"307 Main St, Eldoret, EL, 20345"
58418,Harrier,2500000,1,04/09/19,"260 Pine St, Juja, JJ, 34532"
58419,Mazda,900000,1,04/17/19,"709 5th St, Juja, JJ, 34532"
58420,Range Rover,17000000,1,04/11/19,"710 Main St, Nairobi, CA, 10100"
58421,Harrier,2500000,1,04/21/19,"64 6th St, Eldoret, EL, 20345"
58422,Voxy Wagon,4500000,1,04/17/19,"87 4th St, Upperhill, UH, 90001"
58423,Saloon,1200000,1,04/27/19,"761 Pine St, Upperhill, UH, 90001"
58424,BMW,5000000,1,04/09/19,"705 5th St, Upperhill, UH, 90001"
58425,Harrier,2500000,1,04/05/19,"725 1st St, Nakuru, NY, 11000"
58426,Wish,1400000,1,04/27/19,"753 1st St, Nairobi, CA, 10100"
58427,Wish,1400000,1,04/30/19,"244 4th St, Kianyaga, KI, 04101"
58428,Saloon,1200000,1,04/30/19,"481 2nd St, Kiambu, KA, 98200"
58429,Van,2000000,1,04/13/19,"418 2nd St, Upperhill, UH, 90001"
58430,Mercides,8000000,1,04/09/19,"488 Maple St, Nairobi, CA, 10100"
58431,Harrier,2500000,1,04/13/19,"550 Main St, Thika, MA, 73301"
58432,Wish,1400000,1,04/06/19,"72 4th St, Nairobi, CA, 10100"
58433,BMW,5000000,1,04/12/19,"523 8th St, Upperhill, UH, 90001"
58434,Lexus,7500000,1,04/18/19,"30 4th St, Thika, MA, 73301"
58435,Mazda,900000,1,04/19/19,"631 Maple St, Westland, WL, 23543"
58436,Harrier,2500000,1,04/18/19,"530 7th St, Westland, WL, 23543"
58437,Prado TX,4000000,1,04/14/19,"67 1st St, Thika, MA, 73301"
58438,Saloon,1200000,1,04/03/19,"220 Main St, Upperhill, UH, 90001"
58439,Mazda,900000,1,04/01/19,"392 park St, Nakuru, NY, 11000"
58440,Lexus,7500000,1,04/30/19,"646 7th St, Upperhill, UH, 90001"
58441,Saloon,1200000,1,04/25/19,"606 7th St, Upperhill, UH, 90001"
58442,Voxy Wagon,4500000,1,04/05/19,"355 4th St, Westland, WL, 23543"
58443,Mazda,900000,1,04/01/19,"746 8th St, Kiambu, KA, 98200"
58444,Prado TX,4000000,1,04/19/19,"274 Pine St, Westland, WL, 23543"
58445,Wish,1400000,1,04/11/19,"411 4th St, Nairobi, CA, 10100"
58446,Wish,1400000,1,04/17/19,"723 8th St, Juja, JJ, 34532"
58447,Voxy Wagon,4500000,1,04/12/19,"183 park St, Thika, MA, 73301"
58448,Prado TX,4000000,1,04/03/19,"619 5th St, Upperhill, UH, 90001"
58449,Van,2000000,1,04/17/19,"83 5th St, Kiambu, KA, 98200"
58450,Wish,1400000,1,04/30/19,"599 5th St, Nakuru, NY, 11000"
58451,Saloon,1200000,1,04/21/19,"555 park St, Thika, MA, 73301"
58452,Van,2000000,1,04/26/19,"690 1st St, Upperhill, UH, 90001"
58453,Wish,1400000,1,04/09/19,"778 1st St, Kiambu, KA, 98200"
58454,Mazda,900000,1,04/27/19,"518 4th St, Nairobi, CA, 10100"
58455,Mazda,900000,1,04/06/19,"25 Maple St, Nairobi, CA, 10100"
58456,Harrier,2500000,1,04/22/19,"438 park St, Thika, MA, 73301"
58457,Wish,1400000,1,04/07/19,"67 Main St, Westland, WL, 23543"
58458,Voxy Wagon,4500000,1,04/29/19,"624 1st St, Nakuru, NY, 11000"
58459,Voxy Wagon,4500000,1,04/27/19,"239 Maple St, Upperhill, UH, 90001"
58460,Wish,1400000,1,04/01/19,"573 4th St, Juja, JJ, 34532"
58461,Saloon,1200000,1,04/18/19,"681 2nd St, Eldoret, EL, 20345"
58462,Saloon,1200000,1,04/24/19,"163 park St, Juja, JJ, 34532"
58463,Prado TX,4000000,1,04/19/19,"58 5th St, Nairobi, CA, 10100"
58464,Range Rover,17000000,1,04/04/19,"20 8th St, Westland, WL, 23543"
58465,Voxy Wagon,4500000,1,04/22/19,"460 5th St, Thika, MA, 73301"
58466,Harrier,2500000,1,04/25/19,"46 7th St, Nairobi, CA, 10100"
58467,Harrier,2500000,1,04/18/19,"777 park St, Juja, JJ, 34532"
58468,Saloon,1200000,1,04/03/19,"513 Maple St, Upperhill, UH, 90001"
58469,Van,2000000,1,04/02/19,"364 8th St, Westland, WL, 23543"
58470,BMW,5000000,1,04/10/19,"696 8th St, Nakuru, NY, 11000"
58471,Mazda,900000,1,04/11/19,"602 6th St, Juja, JJ, 34532"
58472,Saloon,1200000,1,04/29/19,"440 7th St, Westland, WL, 23543"
58473,Wish,1400000,1,04/15/19,"301 1st St, Nairobi, CA, 10100"
58474,Mazda,900000,1,04/26/19,"420 1st St, Thika, MA, 73301"
58475,Voxy Wagon,4500000,1,04/16/19,"161 6th St, Nakuru, NY, 11000"
58476,Mazda,900000,1,04/17/19,"269 1st St, Upperhill, UH, 90001"
58477,Wish,1400000,1,04/10/19,"559 8th St, Eldoret, EL, 20345"
58478,Wish,1400000,1,04/27/19,"314 2nd St, Westland, WL, 23543"
58479,BMW,5000000,1,04/23/19,"500 2nd St, Juja, JJ, 34532"
58480,Mazda,900000,1,04/08/19,"315 8th St, Juja, JJ, 34532"
58481,Saloon,1200000,1,04/13/19,"14 1st St, Thika, MA, 73301"
58482,Saloon,1200000,1,04/15/19,"29 Main St, Thika, MA, 73301"
58483,Prado TX,4000000,1,04/02/19,"444 Maple St, Upperhill, UH, 90001"
58484,Range Rover,17000000,1,04/08/19,"440 2nd St, Westland, WL, 23543"
58485,Harrier,2500000,1,04/17/19,"114 4th St, Westland, WL, 23543"
58486,Saloon,1200000,1,04/10/19,"26 1st St, Nakuru, NY, 11000"
58487,Saloon,1200000,1,04/24/19,"389 2nd St, Kiambu, KA, 98200"
58488,Voxy Wagon,4500000,1,04/04/19,"275 5th St, Nairobi, CA, 10100"
58489,Wish,1400000,1,04/15/19,"379 2nd St, Juja, JJ, 34532"
58490,Voxy Wagon,4500000,1,04/27/19,"680 1st St, Upperhill, UH, 90001"
58491,Saloon,1200000,1,04/16/19,"594 Main St, Nairobi, CA, 10100"
58492,Van,2000000,1,04/16/19,"662 1st St, Westland, WL, 23543"
58493,Voxy Wagon,4500000,1,04/20/19,"225 7th St, Juja, JJ, 34532"
58494,Saloon,1200000,1,04/10/19,"646 1st St, Westland, WL, 23543"
58495,Voxy Wagon,4500000,1,04/08/19,"677 6th St, Kiambu, KA, 98200"
58496,Range Rover,17000000,1,04/07/19,"33 4th St, Eldoret, EL, 20345"
58497,Mazda,900000,1,04/14/19,"260 5th St, Thika, MA, 73301"
58498,BMW,5000000,1,04/04/19,"133 Maple St, Juja, JJ, 34532"
58499,Wish,1400000,1,04/01/19,"662 Maple St, Nairobi, CA, 10100"
58500,Mazda,900000,1,04/29/19,"37 Maple St, Westland, WL, 23543"
58501,Saloon,1200000,1,04/13/19,"65 Pine St, Nakuru, NY, 11000"
58502,Lexus,7500000,1,04/06/19,"450 4th St, Thika, MA, 73301"
58503,Voxy Wagon,4500000,1,04/04/19,"577 1st St, Nairobi, CA, 10100"
58504,Voxy Wagon,4500000,1,04/11/19,"577 Maple St, Kiambu, KA, 98200"
58505,Saloon,1200000,1,04/09/19,"694 park St, Thika, MA, 73301"
58506,Mazda,900000,1,04/19/19,"615 Pine St, Thika, MA, 73301"
58507,Prado TX,4000000,1,04/23/19,"726 Maple St, Juja, JJ, 34532"
58508,Harrier,2500000,1,04/25/19,"261 1st St, Kiambu, KA, 98200"
58509,Saloon,1200000,1,04/20/19,"241 5th St, Juja, JJ, 34532"
58510,Harrier,2500000,1,04/19/19,"125 4th St, Upperhill, UH, 90001"
58511,Prado TX,4000000,1,04/16/19,"223 7th St, Nairobi, CA, 10100"
58512,Prado TX,4000000,1,04/11/19,"773 7th St, Kiambu, KA, 98200"
58513,Saloon,1200000,1,04/10/19,"352 Maple St, Nairobi, CA, 10100"
58514,Harrier,2500000,1,04/06/19,"9 5th St, Thika, MA, 73301"
58515,Van,2000000,1,04/17/19,"96 6th St, Nairobi, CA, 10100"
58516,Harrier,2500000,1,04/24/19,"138 park St, Nairobi, CA, 10100"
58517,Voxy Wagon,4500000,1,04/13/19,"624 4th St, Kiambu, KA, 98200"
58518,Mazda,900000,1,04/16/19,"174 4th St, Nakuru, NY, 11000"
58519,Harrier,2500000,1,04/06/19,"352 Pine St, Kianyaga, KI, 04101"
58520,Wish,1400000,1,04/05/19,"559 Maple St, Thika, MA, 73301"
58521,Saloon,1200000,1,04/17/19,"231 6th St, Juja, JJ, 34532"
58522,Wish,1400000,1,04/10/19,"444 Main St, Nairobi, CA, 10100"
58523,Prado TX,4000000,1,04/18/19,"42 5th St, Nakuru, NY, 11000"
58524,Harrier,2500000,1,04/03/19,"580 4th St, Nairobi, CA, 10100"
58525,Wish,1400000,1,04/22/19,"60 Maple St, Juja, JJ, 34532"
58526,Wish,1400000,1,04/04/19,"183 8th St, Eldoret, EL, 20345"
58527,Saloon,1200000,1,04/13/19,"539 park St, Thika, MA, 73301"
58528,Mazda,900000,1,04/02/19,"158 5th St, Upperhill, UH, 90001"
58529,Wish,1400000,1,04/14/19,"232 7th St, Westland, WL, 23543"
58530,Mazda,900000,1,04/16/19,"49 Maple St, Thika, MA, 73301"
58531,Saloon,1200000,1,04/07/19,"771 Pine St, Juja, JJ, 34532"
58532,BMW,5000000,1,04/07/19,"702 park St, Upperhill, UH, 90001"
58533,BMW,5000000,1,04/27/19,"760 park St, Thika, MA, 73301"
58534,Wish,1400000,1,04/03/19,"385 7th St, Westland, WL, 23543"
58535,Mazda,900000,1,04/26/19,"189 5th St, Westland, WL, 23543"
58536,Saloon,1200000,1,04/11/19,"391 park St, Nairobi, CA, 10100"
58537,Prado TX,4000000,1,04/14/19,"424 5th St, Eldoret, EL, 20345"
58538,Harrier,2500000,1,04/06/19,"541 6th St, Thika, MA, 73301"
58539,Van,2000000,1,04/26/19,"469 6th St, Juja, JJ, 34532"
58540,Harrier,2500000,1,04/04/19,"146 Main St, Nairobi, CA, 10100"
58541,Van,2000000,1,04/21/19,"353 6th St, Nakuru, NY, 11000"
58542,Saloon,1200000,1,04/05/19,"739 Pine St, Juja, JJ, 34532"
58543,Mazda,900000,1,04/15/19,"720 Main St, Eldoret, EL, 20345"
58544,Harrier,2500000,1,04/19/19,"46 Pine St, Nakuru, NY, 11000"
58545,Harrier,2500000,1,04/28/19,"119 Maple St, Juja, JJ, 34532"
58546,Harrier,2500000,1,04/11/19,"620 2nd St, Juja, JJ, 34532"
58547,Saloon,1200000,1,04/07/19,"351 park St, Thika, MA, 73301"
58548,Van,2000000,1,04/21/19,"165 2nd St, Westland, WL, 23543"
58549,BMW,5000000,1,04/18/19,"548 8th St, Juja, JJ, 34532"
58550,Wish,1400000,1,04/28/19,"137 7th St, Kiambu, KA, 98200"
58551,Mazda,900000,1,04/06/19,"778 5th St, Thika, MA, 73301"
58552,Wish,1400000,1,04/09/19,"422 2nd St, Nairobi, CA, 10100"
58553,Lexus,7500000,1,04/11/19,"261 park St, Upperhill, UH, 90001"
58554,Wish,1400000,1,04/05/19,"445 park St, Thika, MA, 73301"
58555,Prado TX,4000000,1,04/12/19,"432 1st St, Thika, MA, 73301"
