Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
131782,Mazda,900000,1,08/14/19,"423 6th St, Westland, WL, 23543"
131783,Van,2000000,1,08/27/19,"543 8th St, Westland, WL, 23543"
131784,Van,2000000,1,08/25/19,"692 4th St, Kiambu, KA, 98200"
131785,Van,2000000,1,08/07/19,"254 park St, Juja, JJ, 34532"
131786,Voxy Wagon,4500000,1,08/03/19,"341 1st St, Nairobi, CA, 10100"
131787,Wish,1400000,1,08/31/19,"186 park St, Thika, MA, 73301"
131788,Van,2000000,1,08/05/19,"277 1st St, Upperhill, UH, 90001"
131789,Wish,1400000,1,08/31/19,"56 8th St, Kiambu, KA, 98200"
131790,Mazda,900000,1,08/16/19,"14 1st St, Kiambu, KA, 98200"
131791,BMW,5000000,1,08/29/19,"592 1st St, Nairobi, CA, 10100"
131792,Van,2000000,1,08/19/19,"427 4th St, Nairobi, CA, 10100"
131793,Prado TX,4000000,1,08/25/19,"481 5th St, Nairobi, CA, 10100"
131794,Mazda,900000,1,08/02/19,"442 1st St, Eldoret, EL, 20345"
131795,Mercides,8000000,1,08/07/19,"66 6th St, Nairobi, CA, 10100"
131796,Mazda,900000,1,08/06/19,"642 Pine St, Nairobi, CA, 10100"
131797,Wish,1400000,1,08/09/19,"640 6th St, Nairobi, CA, 10100"
131798,Mercides,8000000,1,08/05/19,"451 Maple St, Nakuru, NY, 11000"
131799,Voxy Wagon,4500000,1,08/05/19,"579 2nd St, Kiambu, KA, 98200"
131800,Voxy Wagon,4500000,1,08/25/19,"162 Main St, Upperhill, UH, 90001"
131801,Saloon,1200000,1,08/28/19,"701 2nd St, Thika, MA, 73301"
131802,Voxy Wagon,4500000,1,08/10/19,"708 Pine St, Nairobi, CA, 10100"
131803,Saloon,1200000,1,08/03/19,"137 7th St, Nakuru, NY, 11000"
131804,Voxy Wagon,4500000,1,08/14/19,"179 5th St, Nairobi, CA, 10100"
131805,Van,2000000,1,08/02/19,"473 7th St, Juja, JJ, 34532"
131806,Voxy Wagon,4500000,1,08/31/19,"619 Maple St, Nairobi, CA, 10100"
131807,Saloon,1200000,1,08/01/19,"739 Pine St, Juja, JJ, 34532"
131808,BMW,5000000,1,08/22/19,"325 5th St, Nakuru, NY, 11000"
131809,Prado TX,4000000,1,08/19/19,"321 Maple St, Westland, WL, 23543"
131810,Prado TX,4000000,1,08/30/19,"639 park St, Kiambu, KA, 98200"
131811,Lexus,7500000,1,08/24/19,"221 5th St, Juja, JJ, 34532"
131812,BMW,5000000,1,08/31/19,"198 4th St, Kianyaga, KI, 04101"
131813,Voxy Wagon,4500000,1,08/21/19,"318 6th St, Nakuru, NY, 11000"
131814,BMW,5000000,1,08/14/19,"655 6th St, Nakuru, NY, 11000"
131815,Lexus,7500000,1,08/29/19,"210 8th St, Upperhill, UH, 90001"
131816,Mazda,900000,1,08/05/19,"605 Main St, Westland, WL, 23543"
131817,Saloon,1200000,1,08/23/19,"596 5th St, Westland, WL, 23543"
131818,Van,2000000,1,08/01/19,"649 5th St, Nairobi, CA, 10100"
131819,Wish,1400000,1,08/06/19,"159 Maple St, Nairobi, CA, 10100"
131820,Saloon,1200000,1,08/04/19,"50 Maple St, Westland, WL, 23543"
131821,Van,2000000,1,08/24/19,"336 2nd St, Thika, MA, 73301"
131822,Saloon,1200000,1,08/16/19,"210 Main St, Nairobi, CA, 10100"
131823,Range Rover,17000000,1,08/23/19,"77 1st St, Nakuru, NY, 11000"
131824,Harrier,2500000,1,08/22/19,"526 2nd St, Thika, MA, 73301"
131825,Wish,1400000,1,08/22/19,"365 8th St, Upperhill, UH, 90001"
131826,Harrier,2500000,1,08/19/19,"729 2nd St, Nairobi, CA, 10100"
131827,Mazda,900000,1,08/26/19,"449 1st St, Thika, MA, 73301"
131828,Saloon,1200000,1,08/17/19,"226 5th St, Upperhill, UH, 90001"
131829,BMW,5000000,1,08/15/19,"770 5th St, Westland, WL, 23543"
131830,Lexus,7500000,1,08/26/19,"243 2nd St, Thika, MA, 73301"
131831,Mazda,900000,1,08/11/19,"613 6th St, Nairobi, CA, 10100"
131832,Van,2000000,1,08/08/19,"513 4th St, Westland, WL, 23543"
