Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
204282,Harrier,2500000,1,12/21/19,"508 7th St, Juja, JJ, 34532"
204283,Mercides,8000000,1,12/27/19,"638 park St, Westland, WL, 23543"
204284,BMW,5000000,1,12/12/19,"270 4th St, Nairobi, CA, 10100"
204285,Voxy Wagon,4500000,1,12/19/19,"639 7th St, Nairobi, CA, 10100"
204286,Harrier,2500000,1,12/17/19,"349 4th St, Thika, MA, 73301"
204287,Lexus,7500000,1,12/15/19,"255 Pine St, Upperhill, UH, 90001"
204288,BMW,5000000,1,12/28/19,"770 Main St, Thika, MA, 73301"
204289,Voxy Wagon,4500000,1,12/30/19,"304 Maple St, Thika, MA, 73301"
204290,Wish,1400000,1,12/05/19,"254 2nd St, Westland, WL, 23543"
204291,BMW,5000000,1,12/13/19,"248 4th St, Kiambu, KA, 98200"
204292,Harrier,2500000,1,12/20/19,"605 4th St, Nairobi, CA, 10100"
204293,Mazda,900000,1,12/05/19,"397 6th St, Nairobi, CA, 10100"
204294,Prado TX,4000000,1,12/03/19,"578 6th St, Eldoret, EL, 20345"
204295,Mercides,8000000,1,12/14/19,"45 1st St, Westland, WL, 23543"
204296,Harrier,2500000,1,12/30/19,"608 2nd St, Westland, WL, 23543"
204297,Wish,1400000,1,12/19/19,"152 1st St, Kianyaga, KI, 04101"
204298,Harrier,2500000,1,12/03/19,"471 park St, Juja, JJ, 34532"
204299,Mazda,900000,1,12/22/19,"201 4th St, Eldoret, EL, 20345"
204300,Van,2000000,1,12/15/19,"726 1st St, Kianyaga, KI, 04101"
204301,Voxy Wagon,4500000,1,12/22/19,"159 Pine St, Eldoret, EL, 20345"
204302,Mazda,900000,1,12/23/19,"272 Main St, Westland, WL, 23543"
204303,Voxy Wagon,4500000,1,12/12/19,"576 4th St, Juja, JJ, 34532"
204304,Mazda,900000,1,12/18/19,"525 Main St, Nairobi, CA, 10100"
204305,Harrier,2500000,1,12/02/19,"489 Maple St, Nairobi, CA, 10100"
204306,Saloon,1200000,1,12/22/19,"469 7th St, Upperhill, UH, 90001"
204307,Voxy Wagon,4500000,1,12/07/19,"291 2nd St, Upperhill, UH, 90001"
204308,Saloon,1200000,1,12/08/19,"762 6th St, Juja, JJ, 34532"
204309,Prado TX,4000000,1,12/16/19,"632 1st St, Upperhill, UH, 90001"
204310,Mercides,8000000,1,12/21/19,"327 Maple St, Westland, WL, 23543"
204311,Harrier,2500000,1,12/08/19,"751 7th St, Kiambu, KA, 98200"
204312,Wish,1400000,1,12/13/19,"149 2nd St, Nakuru, NY, 11000"
204313,Voxy Wagon,4500000,1,12/18/19,"156 park St, Kianyaga, KI, 04101"
204314,Wish,1400000,1,12/22/19,"198 park St, Nakuru, NY, 11000"
204315,Van,2000000,1,12/07/19,"479 Pine St, Kiambu, KA, 98200"
204316,Van,2000000,1,12/02/19,"444 8th St, Upperhill, UH, 90001"
204317,Wish,1400000,1,12/19/19,"488 park St, Thika, MA, 73301"
204318,Voxy Wagon,4500000,1,12/01/19,"657 2nd St, Upperhill, UH, 90001"
204319,Harrier,2500000,1,12/30/19,"417 Main St, Nairobi, CA, 10100"
204320,Voxy Wagon,4500000,1,12/10/19,"262 5th St, Juja, JJ, 34532"
204321,Wish,1400000,1,12/22/19,"312 Main St, Juja, JJ, 34532"
204322,Saloon,1200000,1,12/15/19,"133 8th St, Upperhill, UH, 90001"
204323,Mazda,900000,1,12/08/19,"379 park St, Upperhill, UH, 90001"
204324,Voxy Wagon,4500000,1,12/31/19,"243 Pine St, Kiambu, KA, 98200"
204325,Lexus,7500000,1,12/20/19,"477 Maple St, Upperhill, UH, 90001"
204326,BMW,5000000,1,12/30/19,"259 park St, Nairobi, CA, 10100"
204327,BMW,5000000,1,12/20/19,"572 6th St, Upperhill, UH, 90001"
204328,BMW,5000000,1,12/26/19,"155 6th St, Nairobi, CA, 10100"
204329,Saloon,1200000,1,12/15/19,"167 Main St, Kiambu, KA, 98200"
204330,Mazda,900000,1,12/08/19,"484 4th St, Thika, MA, 73301"
204331,Voxy Wagon,4500000,1,12/15/19,"185 1st St, Nakuru, NY, 11000"
204332,Harrier,2500000,1,12/11/19,"161 4th St, Kiambu, KA, 98200"
204333,Range Rover,17000000,1,12/13/19,"61 2nd St, Nairobi, CA, 10100"
204334,Van,2000000,1,12/29/19,"249 Maple St, Westland, WL, 23543"
204335,Saloon,1200000,1,12/14/19,"487 Main St, Eldoret, EL, 20345"
204336,Prado TX,4000000,1,12/30/19,"49 Pine St, Upperhill, UH, 90001"
204337,Wish,1400000,1,12/09/19,"464 6th St, Thika, MA, 73301"
204338,BMW,5000000,1,12/24/19,"443 4th St, Nairobi, CA, 10100"
204339,Prado TX,4000000,1,12/19/19,"521 2nd St, Nairobi, CA, 10100"
204340,Wish,1400000,1,12/22/19,"263 5th St, Upperhill, UH, 90001"
204341,BMW,5000000,1,12/12/19,"618 park St, Westland, WL, 23543"
204342,Prado TX,4000000,1,12/10/19,"577 park St, Upperhill, UH, 90001"
204343,Harrier,2500000,1,12/08/19,"771 Maple St, Westland, WL, 23543"
204344,Saloon,1200000,1,12/20/19,"132 6th St, Westland, WL, 23543"
