Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
19066,Mazda,900000,1,02/03/19,"313 6th St, Nakuru, NY, 11000"
19067,Mercides,8000000,1,02/23/19,"610 8th St, Upperhill, UH, 90001"
19068,Voxy Wagon,4500000,1,02/06/19,"766 Pine St, Thika, MA, 73301"
19069,Van,2000000,1,02/18/19,"143 7th St, Nakuru, NY, 11000"
19070,Lexus,7500000,1,02/10/19,"228 park St, Kiambu, KA, 98200"
19071,Harrier,2500000,1,02/07/19,"57 6th St, Kianyaga, KI, 04101"
19072,Wish,1400000,1,02/09/19,"660 2nd St, Nakuru, NY, 11000"
19073,Saloon,1200000,1,02/24/19,"615 1st St, Upperhill, UH, 90001"
19074,Van,2000000,1,02/04/19,"486 8th St, Nairobi, CA, 10100"
19075,Voxy Wagon,4500000,1,02/24/19,"36 8th St, Nairobi, CA, 10100"
19076,Saloon,1200000,1,02/13/19,"767 park St, Juja, JJ, 34532"
19077,Wish,1400000,1,02/19/19,"246 8th St, Nakuru, NY, 11000"
19078,Mazda,900000,1,02/24/19,"666 7th St, Nairobi, CA, 10100"
19079,Wish,1400000,1,02/16/19,"144 7th St, Upperhill, UH, 90001"
19080,Mazda,900000,1,02/16/19,"581 park St, Nairobi, CA, 10100"
19081,Mazda,900000,1,02/26/19,"289 2nd St, Thika, MA, 73301"
19082,Mazda,900000,1,02/18/19,"364 8th St, Eldoret, EL, 20345"
19083,Prado TX,4000000,1,02/11/19,"701 park St, Nairobi, CA, 10100"
19084,BMW,5000000,1,02/01/19,"764 6th St, Thika, MA, 73301"
19085,Prado TX,4000000,1,02/26/19,"763 2nd St, Nakuru, NY, 11000"
19086,Wish,1400000,1,02/12/19,"72 Main St, Thika, MA, 73301"
19087,Wish,1400000,1,02/28/19,"446 Maple St, Thika, MA, 73301"
19088,Van,2000000,1,02/27/19,"103 Maple St, Nairobi, CA, 10100"
19089,Mazda,900000,1,02/12/19,"241 Maple St, Kianyaga, KI, 04101"
19090,Lexus,7500000,1,02/01/19,"5 2nd St, Upperhill, UH, 90001"
19091,Prado TX,4000000,1,02/13/19,"248 7th St, Eldoret, EL, 20345"
19092,Mercides,8000000,1,02/02/19,"428 2nd St, Kianyaga, KI, 04101"
19093,Prado TX,4000000,1,02/02/19,"116 Pine St, Nairobi, CA, 10100"
19094,Van,2000000,1,02/21/19,"445 2nd St, Upperhill, UH, 90001"
19095,Saloon,1200000,1,02/05/19,"344 5th St, Nairobi, CA, 10100"
19096,Prado TX,4000000,1,02/26/19,"543 7th St, Upperhill, UH, 90001"
19097,Prado TX,4000000,1,02/11/19,"308 Pine St, Eldoret, EL, 20345"
19098,Mazda,900000,1,02/13/19,"11 7th St, Kianyaga, KI, 04101"
19099,Mazda,900000,1,02/03/19,"170 5th St, Nairobi, CA, 10100"
19100,Mazda,900000,1,02/03/19,"156 8th St, Nairobi, CA, 10100"
19101,Mazda,900000,1,02/28/19,"644 5th St, Nakuru, NY, 11000"
19102,Mazda,900000,1,02/20/19,"51 Pine St, Kiambu, KA, 98200"
19103,Mazda,900000,1,02/28/19,"5 1st St, Westland, WL, 23543"
19104,Mercides,8000000,1,02/13/19,"638 Maple St, Nairobi, CA, 10100"
19105,Mazda,900000,1,02/12/19,"393 park St, Kianyaga, KI, 04101"
19106,Saloon,1200000,1,02/17/19,"721 4th St, Nakuru, NY, 11000"
19107,Mercides,8000000,1,02/20/19,"252 Pine St, Upperhill, UH, 90001"
19108,Mazda,900000,1,02/24/19,"251 8th St, Upperhill, UH, 90001"
19109,Prado TX,4000000,1,02/25/19,"777 4th St, Westland, WL, 23543"
19110,Wish,1400000,1,02/22/19,"184 4th St, Nairobi, CA, 10100"
19111,Mazda,900000,1,02/11/19,"150 Maple St, Thika, MA, 73301"
19112,Mazda,900000,1,02/27/19,"746 park St, Nairobi, CA, 10100"
19113,Van,2000000,1,02/13/19,"282 8th St, Westland, WL, 23543"
19114,BMW,5000000,1,02/12/19,"113 6th St, Eldoret, EL, 20345"
19115,Mazda,900000,1,02/19/19,"334 7th St, Westland, WL, 23543"
19116,Voxy Wagon,4500000,1,02/28/19,"754 8th St, Thika, MA, 73301"
19117,Prado TX,4000000,1,02/04/19,"508 4th St, Juja, JJ, 34532"
19118,Wish,1400000,1,02/17/19,"55 Main St, Nairobi, CA, 10100"
19119,Harrier,2500000,1,02/15/19,"568 Main St, Juja, JJ, 34532"
19120,Saloon,1200000,1,02/17/19,"696 4th St, Upperhill, UH, 90001"
19121,Wish,1400000,1,02/08/19,"656 4th St, Kiambu, KA, 98200"
19122,Mazda,900000,1,02/20/19,"609 5th St, Thika, MA, 73301"
19123,Mazda,900000,1,02/21/19,"99 6th St, Juja, JJ, 34532"
19124,Van,2000000,1,02/07/19,"624 4th St, Thika, MA, 73301"
19125,Saloon,1200000,1,02/28/19,"321 Main St, Nairobi, CA, 10100"
19126,Van,2000000,1,02/01/19,"393 4th St, Thika, MA, 73301"
19127,Wish,1400000,1,02/20/19,"248 4th St, Nairobi, CA, 10100"
19128,Mazda,900000,1,02/24/19,"165 4th St, Nairobi, CA, 10100"
19129,Wish,1400000,1,02/04/19,"674 2nd St, Westland, WL, 23543"
19130,Lexus,7500000,1,02/03/19,"127 1st St, Westland, WL, 23543"
19131,Voxy Wagon,4500000,1,02/22/19,"184 1st St, Eldoret, EL, 20345"
19132,Mazda,900000,1,02/21/19,"50 park St, Kianyaga, KI, 04101"
19133,Voxy Wagon,4500000,1,02/14/19,"66 Main St, Nakuru, NY, 11000"
19134,Saloon,1200000,1,02/22/19,"433 7th St, Thika, MA, 73301"
19135,Voxy Wagon,4500000,1,02/26/19,"498 Main St, Nairobi, CA, 10100"
19136,Mazda,900000,1,02/12/19,"160 Main St, Kianyaga, KI, 04101"
19137,Prado TX,4000000,1,02/07/19,"475 8th St, Juja, JJ, 34532"
19138,Prado TX,4000000,1,02/06/19,"280 2nd St, Nairobi, CA, 10100"
19139,Van,2000000,1,02/02/19,"397 park St, Upperhill, UH, 90001"
19140,Mazda,900000,1,02/24/19,"365 6th St, Upperhill, UH, 90001"
19141,Lexus,7500000,1,02/28/19,"374 park St, Thika, MA, 73301"
19142,Mercides,8000000,1,02/09/19,"27 1st St, Westland, WL, 23543"
19143,Saloon,1200000,1,02/23/19,"360 5th St, Westland, WL, 23543"
19144,Saloon,1200000,1,02/14/19,"551 2nd St, Nakuru, NY, 11000"
19145,Wish,1400000,1,02/24/19,"65 4th St, Nakuru, NY, 11000"
19146,BMW,5000000,1,02/18/19,"75 Pine St, Thika, MA, 73301"
19147,Mazda,900000,1,02/02/19,"253 Pine St, Upperhill, UH, 90001"
19148,Harrier,2500000,1,02/27/19,"21 8th St, Upperhill, UH, 90001"
19149,Voxy Wagon,4500000,1,02/10/19,"488 Pine St, Nakuru, NY, 11000"
19150,Prado TX,4000000,1,02/23/19,"649 5th St, Westland, WL, 23543"
19151,Prado TX,4000000,1,02/24/19,"16 6th St, Thika, MA, 73301"
19152,Harrier,2500000,1,02/01/19,"374 8th St, Thika, MA, 73301"
19153,Voxy Wagon,4500000,1,02/06/19,"140 4th St, Nakuru, NY, 11000"
19154,Saloon,1200000,1,02/13/19,"546 8th St, Thika, MA, 73301"
19155,Wish,1400000,1,02/26/19,"663 park St, Kianyaga, KI, 04101"
19156,Voxy Wagon,4500000,1,02/06/19,"489 6th St, Upperhill, UH, 90001"
19157,Van,2000000,1,02/02/19,"613 7th St, Kiambu, KA, 98200"
19158,Mercides,8000000,1,02/13/19,"112 6th St, Upperhill, UH, 90001"
19159,Lexus,7500000,1,02/21/19,"714 6th St, Kiambu, KA, 98200"
19160,Voxy Wagon,4500000,1,02/12/19,"213 Pine St, Westland, WL, 23543"
19161,Mazda,900000,1,02/11/19,"713 Main St, Nairobi, CA, 10100"
19162,Van,2000000,1,02/21/19,"479 6th St, Thika, MA, 73301"
19163,Harrier,2500000,1,02/17/19,"105 Pine St, Eldoret, EL, 20345"
19164,Mazda,900000,1,02/26/19,"40 1st St, Nakuru, NY, 11000"
19165,Prado TX,4000000,1,02/26/19,"216 4th St, Kiambu, KA, 98200"
19166,Mazda,900000,1,02/07/19,"687 7th St, Juja, JJ, 34532"
19167,Prado TX,4000000,1,02/15/19,"265 Maple St, Thika, MA, 73301"
19168,Saloon,1200000,1,02/14/19,"464 Main St, Nakuru, NY, 11000"
19169,Voxy Wagon,4500000,1,02/04/19,"330 Maple St, Thika, MA, 73301"
19170,Voxy Wagon,4500000,1,02/21/19,"526 Main St, Westland, WL, 23543"
19171,Harrier,2500000,1,02/20/19,"710 5th St, Nakuru, NY, 11000"
19172,Saloon,1200000,1,02/12/19,"329 park St, Nairobi, CA, 10100"
19173,Harrier,2500000,1,02/04/19,"448 8th St, Eldoret, EL, 20345"
19174,Range Rover,17000000,1,02/14/19,"322 8th St, Juja, JJ, 34532"
19175,Saloon,1200000,1,02/25/19,"587 7th St, Kiambu, KA, 98200"
19176,Wish,1400000,1,02/13/19,"312 1st St, Thika, MA, 73301"
19177,Van,2000000,1,02/28/19,"746 7th St, Kiambu, KA, 98200"
19178,Wish,1400000,1,02/17/19,"646 8th St, Thika, MA, 73301"
19179,Voxy Wagon,4500000,1,02/02/19,"514 Main St, Westland, WL, 23543"
19180,Van,2000000,1,02/15/19,"132 8th St, Nairobi, CA, 10100"
19181,Mazda,900000,1,02/01/19,"167 1st St, Upperhill, UH, 90001"
19182,Prado TX,4000000,1,02/13/19,"752 1st St, Kiambu, KA, 98200"
19183,Mercides,8000000,1,02/06/19,"517 4th St, Upperhill, UH, 90001"
