Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
267,Mazda,900000,1,01/22/19,"67 5th St, Westland, WL, 23543"
268,Wish,1400000,1,01/19/19,"437 5th St, Thika, MA, 73301"
269,Saloon,1200000,1,01/01/19,"700 park St, Upperhill, UH, 90001"
270,Wish,1400000,1,01/27/19,"640 Maple St, Juja, JJ, 34532"
271,BMW,5000000,1,01/12/19,"356 Maple St, Upperhill, UH, 90001"
272,Harrier,2500000,1,01/11/19,"583 Pine St, Thika, MA, 73301"
273,Mazda,900000,1,01/21/19,"246 7th St, Kiambu, KA, 98200"
274,Van,2000000,1,01/07/19,"264 Main St, Nairobi, CA, 10100"
275,Saloon,1200000,1,01/08/19,"213 Maple St, Kiambu, KA, 98200"
276,Van,2000000,1,01/11/19,"36 Maple St, Nairobi, CA, 10100"
277,BMW,5000000,1,01/02/19,"369 1st St, Kiambu, KA, 98200"
278,Mazda,900000,1,01/07/19,"445 6th St, Westland, WL, 23543"
279,Mazda,900000,1,01/08/19,"262 8th St, Upperhill, UH, 90001"
280,Saloon,1200000,1,01/04/19,"277 6th St, Upperhill, UH, 90001"
281,Wish,1400000,1,01/07/19,"748 4th St, Kianyaga, KI, 04101"
282,Voxy Wagon,4500000,1,01/31/19,"521 4th St, Thika, MA, 73301"
283,Mazda,900000,1,01/10/19,"160 Main St, Upperhill, UH, 90001"
284,Prado TX,4000000,1,01/04/19,"587 1st St, Upperhill, UH, 90001"
285,Van,2000000,1,01/25/19,"252 8th St, Thika, MA, 73301"
286,Mazda,900000,1,01/07/19,"620 6th St, Nairobi, CA, 10100"
287,Saloon,1200000,1,01/14/19,"749 8th St, Nakuru, NY, 11000"
288,Mazda,900000,1,01/15/19,"624 7th St, Thika, MA, 73301"
289,Saloon,1200000,1,01/17/19,"419 2nd St, Juja, JJ, 34532"
290,Van,2000000,1,01/17/19,"126 7th St, Juja, JJ, 34532"
291,Wish,1400000,1,01/28/19,"743 7th St, Nairobi, CA, 10100"
292,Lexus,7500000,1,01/31/19,"461 4th St, Nakuru, NY, 11000"
293,Mercides,8000000,1,01/02/19,"571 Maple St, Upperhill, UH, 90001"
294,Mazda,900000,1,01/12/19,"618 Main St, Juja, JJ, 34532"
295,Saloon,1200000,1,01/02/19,"494 6th St, Nairobi, CA, 10100"
296,Prado TX,4000000,1,01/19/19,"359 Main St, Juja, JJ, 34532"
297,Wish,1400000,1,01/17/19,"12 park St, Nairobi, CA, 10100"
298,Voxy Wagon,4500000,1,01/13/19,"190 5th St, Westland, WL, 23543"
299,Prado TX,4000000,1,01/27/19,"461 Main St, Nakuru, NY, 11000"
300,Wish,1400000,1,01/09/19,"629 4th St, Westland, WL, 23543"
301,Van,2000000,1,01/16/19,"759 7th St, Upperhill, UH, 90001"
302,Saloon,1200000,1,01/17/19,"760 4th St, Upperhill, UH, 90001"
303,Mercides,8000000,1,01/24/19,"357 Maple St, Thika, MA, 73301"
304,Voxy Wagon,4500000,1,01/17/19,"756 4th St, Westland, WL, 23543"
305,Voxy Wagon,4500000,1,01/26/19,"526 park St, Nairobi, CA, 10100"
306,Voxy Wagon,4500000,1,01/31/19,"128 8th St, Kianyaga, KI, 04101"
307,Voxy Wagon,4500000,1,01/09/19,"224 1st St, Nakuru, NY, 11000"
308,Mercides,8000000,1,01/03/19,"54 park St, Nairobi, CA, 10100"
309,Lexus,7500000,1,01/23/19,"434 1st St, Nairobi, CA, 10100"
310,Voxy Wagon,4500000,1,01/22/19,"338 Main St, Thika, MA, 73301"
311,Wish,1400000,1,01/28/19,"34 park St, Nairobi, CA, 10100"
312,Mazda,900000,1,01/16/19,"537 Pine St, Juja, JJ, 34532"
313,Voxy Wagon,4500000,1,01/14/19,"423 8th St, Eldoret, EL, 20345"
314,Saloon,1200000,1,01/14/19,"5 5th St, Thika, MA, 73301"
315,Voxy Wagon,4500000,1,01/17/19,"347 4th St, Juja, JJ, 34532"
