Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
114092,Saloon,1200000,1,07/30/19,"587 5th St, Nairobi, CA, 10100"
114093,Mazda,900000,1,07/11/19,"192 Main St, Nakuru, NY, 11000"
114094,Harrier,2500000,1,07/20/19,"751 Maple St, Westland, WL, 23543"
114095,Harrier,2500000,1,07/16/19,"63 Pine St, Kianyaga, KI, 04101"
114096,Saloon,1200000,1,07/27/19,"55 park St, Eldoret, EL, 20345"
114097,Mazda,900000,1,07/05/19,"381 2nd St, Nairobi, CA, 10100"
114098,Saloon,1200000,1,07/23/19,"548 4th St, Nakuru, NY, 11000"
114099,Van,2000000,1,07/31/19,"210 1st St, Thika, MA, 73301"
114100,Van,2000000,1,07/12/19,"379 4th St, Kianyaga, KI, 04101"
114101,Saloon,1200000,1,07/13/19,"320 5th St, Upperhill, UH, 90001"
114102,BMW,5000000,1,07/02/19,"84 1st St, Nairobi, CA, 10100"
114103,Mazda,900000,1,07/20/19,"199 park St, Juja, JJ, 34532"
114104,Prado TX,4000000,1,07/22/19,"4 7th St, Nairobi, CA, 10100"
114105,BMW,5000000,1,07/20/19,"8 1st St, Nakuru, NY, 11000"
114106,Wish,1400000,1,07/29/19,"276 4th St, Upperhill, UH, 90001"
114107,Wish,1400000,1,07/25/19,"262 7th St, Juja, JJ, 34532"
114108,Voxy Wagon,4500000,1,07/06/19,"345 8th St, Westland, WL, 23543"
114109,BMW,5000000,1,07/03/19,"573 Pine St, Thika, MA, 73301"
114110,BMW,5000000,1,07/27/19,"182 1st St, Westland, WL, 23543"
114111,Prado TX,4000000,1,07/29/19,"413 Main St, Thika, MA, 73301"
114112,Van,2000000,1,07/18/19,"583 7th St, Nairobi, CA, 10100"
114113,Van,2000000,1,07/30/19,"137 park St, Nairobi, CA, 10100"
114114,Wish,1400000,1,07/30/19,"576 4th St, Nakuru, NY, 11000"
114115,Van,2000000,1,07/28/19,"193 park St, Thika, MA, 73301"
114116,BMW,5000000,1,07/05/19,"516 1st St, Thika, MA, 73301"
114117,Saloon,1200000,1,07/30/19,"647 4th St, Kiambu, KA, 98200"
114118,Saloon,1200000,1,07/20/19,"593 6th St, Upperhill, UH, 90001"
114119,Wish,1400000,1,07/13/19,"602 5th St, Westland, WL, 23543"
114120,Mercides,8000000,1,07/16/19,"409 5th St, Kiambu, KA, 98200"
114121,Saloon,1200000,1,07/28/19,"661 1st St, Thika, MA, 73301"
114122,Mazda,900000,1,07/17/19,"420 4th St, Westland, WL, 23543"
114123,Voxy Wagon,4500000,1,07/05/19,"430 park St, Nakuru, NY, 11000"
114124,Voxy Wagon,4500000,1,07/18/19,"337 Pine St, Juja, JJ, 34532"
114125,Saloon,1200000,1,07/16/19,"435 5th St, Kianyaga, KI, 04101"
114126,Mazda,900000,1,07/04/19,"336 park St, Thika, MA, 73301"
114127,Mazda,900000,1,07/23/19,"530 2nd St, Nakuru, NY, 11000"
114128,Saloon,1200000,1,07/31/19,"147 5th St, Juja, JJ, 34532"
114129,BMW,5000000,1,07/01/19,"614 6th St, Westland, WL, 23543"
114130,BMW,5000000,1,07/15/19,"197 park St, Kiambu, KA, 98200"
114131,Harrier,2500000,1,07/12/19,"763 Pine St, Juja, JJ, 34532"
114132,BMW,5000000,1,07/04/19,"17 1st St, Upperhill, UH, 90001"
114133,Harrier,2500000,1,07/27/19,"529 park St, Nairobi, CA, 10100"
114134,Mazda,900000,1,07/24/19,"128 7th St, Thika, MA, 73301"
114135,Prado TX,4000000,1,07/15/19,"643 6th St, Upperhill, UH, 90001"
