Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
94661,Wish,1400000,1,06/29/19,"729 5th St, Kiambu, KA, 98200"
94662,Range Rover,17000000,1,06/01/19,"345 Main St, Westland, WL, 23543"
94663,Prado TX,4000000,1,06/20/19,"19 4th St, Westland, WL, 23543"
94664,Saloon,1200000,1,06/09/19,"728 Main St, Eldoret, EL, 20345"
94665,Saloon,1200000,1,06/25/19,"726 park St, Westland, WL, 23543"
94666,Prado TX,4000000,1,06/25/19,"739 7th St, Nairobi, CA, 10100"
94667,Van,2000000,1,06/12/19,"670 2nd St, Westland, WL, 23543"
94668,Wish,1400000,1,06/01/19,"152 8th St, Thika, MA, 73301"
94669,Wish,1400000,1,06/27/19,"59 Main St, Thika, MA, 73301"
94670,Prado TX,4000000,1,06/17/19,"234 Pine St, Nairobi, CA, 10100"
94671,Harrier,2500000,1,06/25/19,"182 1st St, Westland, WL, 23543"
94672,Van,2000000,1,06/29/19,"345 2nd St, Nakuru, NY, 11000"
94673,Harrier,2500000,1,06/13/19,"450 2nd St, Nairobi, CA, 10100"
94674,Saloon,1200000,1,06/23/19,"570 2nd St, Nairobi, CA, 10100"
94675,Mazda,900000,1,06/28/19,"379 Maple St, Nairobi, CA, 10100"
94676,Saloon,1200000,1,06/16/19,"213 park St, Juja, JJ, 34532"
94677,Mazda,900000,1,06/19/19,"252 7th St, Westland, WL, 23543"
94678,Wish,1400000,1,06/16/19,"506 Maple St, Nakuru, NY, 11000"
94679,Saloon,1200000,1,06/05/19,"458 8th St, Upperhill, UH, 90001"
94680,Prado TX,4000000,1,06/14/19,"143 Pine St, Upperhill, UH, 90001"
94681,Prado TX,4000000,1,06/13/19,"664 4th St, Nairobi, CA, 10100"
94682,Prado TX,4000000,1,06/23/19,"617 Main St, Nairobi, CA, 10100"
94683,BMW,5000000,1,06/19/19,"746 8th St, Nairobi, CA, 10100"
94684,Van,2000000,1,06/17/19,"44 8th St, Thika, MA, 73301"
94685,Van,2000000,1,06/26/19,"139 Main St, Upperhill, UH, 90001"
94686,Saloon,1200000,1,06/09/19,"440 Main St, Westland, WL, 23543"
94687,Wish,1400000,1,06/28/19,"25 1st St, Nairobi, CA, 10100"
94688,Mazda,900000,1,06/11/19,"158 6th St, Westland, WL, 23543"
94689,Harrier,2500000,1,06/09/19,"18 park St, Westland, WL, 23543"
94690,Saloon,1200000,1,06/23/19,"454 park St, Westland, WL, 23543"
94691,Mercides,8000000,1,06/22/19,"225 Pine St, Westland, WL, 23543"
94692,Prado TX,4000000,1,06/30/19,"585 6th St, Upperhill, UH, 90001"
94693,Prado TX,4000000,1,06/05/19,"11 6th St, Upperhill, UH, 90001"
94694,Saloon,1200000,1,06/19/19,"534 6th St, Westland, WL, 23543"
94695,Lexus,7500000,1,06/14/19,"577 2nd St, Nairobi, CA, 10100"
94696,Lexus,7500000,1,06/18/19,"598 7th St, Upperhill, UH, 90001"
94697,Prado TX,4000000,1,06/25/19,"111 6th St, Juja, JJ, 34532"
94698,Mazda,900000,1,06/21/19,"204 4th St, Westland, WL, 23543"
94699,Harrier,2500000,1,06/21/19,"108 Maple St, Westland, WL, 23543"
94700,Saloon,1200000,1,06/08/19,"394 Main St, Upperhill, UH, 90001"
94701,Saloon,1200000,1,06/14/19,"158 Maple St, Juja, JJ, 34532"
94702,Mercides,8000000,1,06/25/19,"451 2nd St, Nakuru, NY, 11000"
94703,Van,2000000,1,06/23/19,"93 park St, Nairobi, CA, 10100"
94704,Lexus,7500000,1,06/10/19,"225 1st St, Westland, WL, 23543"
94705,BMW,5000000,1,06/16/19,"437 8th St, Kianyaga, KI, 04101"
94706,Prado TX,4000000,1,06/13/19,"449 1st St, Westland, WL, 23543"
94707,Mazda,900000,1,06/14/19,"64 6th St, Nairobi, CA, 10100"
94708,Van,2000000,1,06/08/19,"130 2nd St, Upperhill, UH, 90001"
94709,Mazda,900000,1,06/07/19,"252 8th St, Upperhill, UH, 90001"
94710,Wish,1400000,1,06/27/19,"301 Main St, Nairobi, CA, 10100"
94711,Prado TX,4000000,1,06/13/19,"500 4th St, Nairobi, CA, 10100"
94712,Wish,1400000,1,06/20/19,"7 2nd St, Kiambu, KA, 98200"
94713,Harrier,2500000,1,06/09/19,"606 park St, Upperhill, UH, 90001"
94714,Saloon,1200000,1,06/07/19,"680 8th St, Thika, MA, 73301"
94715,Prado TX,4000000,1,06/08/19,"362 5th St, Westland, WL, 23543"
94716,Saloon,1200000,1,06/08/19,"385 5th St, Juja, JJ, 34532"
94717,Van,2000000,1,06/06/19,"469 8th St, Thika, MA, 73301"
94718,Harrier,2500000,1,06/15/19,"426 6th St, Thika, MA, 73301"
94719,Mercides,8000000,1,06/14/19,"171 6th St, Nakuru, NY, 11000"
94720,Wish,1400000,1,06/10/19,"281 7th St, Westland, WL, 23543"
94721,Saloon,1200000,1,06/30/19,"394 Pine St, Westland, WL, 23543"
94722,Voxy Wagon,4500000,1,06/03/19,"326 7th St, Juja, JJ, 34532"
94723,Mazda,900000,1,06/23/19,"482 Pine St, Kiambu, KA, 98200"
