Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
40548,Voxy Wagon,4500000,1,03/07/19,"266 6th St, Kiambu, KA, 98200"
40549,Saloon,1200000,1,03/19/19,"353 5th St, Kiambu, KA, 98200"
40550,Mazda,900000,1,03/04/19,"119 4th St, Nairobi, CA, 10100"
40551,Lexus,7500000,1,03/30/19,"273 6th St, Nakuru, NY, 11000"
40552,Wish,1400000,1,03/12/19,"417 2nd St, Nairobi, CA, 10100"
40553,Lexus,7500000,1,03/10/19,"489 2nd St, Upperhill, UH, 90001"
40554,Harrier,2500000,1,03/09/19,"8 park St, Nairobi, CA, 10100"
40555,Wish,1400000,1,03/27/19,"705 5th St, Nakuru, NY, 11000"
40556,Lexus,7500000,1,03/25/19,"381 Pine St, Nairobi, CA, 10100"
40557,Prado TX,4000000,1,03/24/19,"731 1st St, Eldoret, EL, 20345"
40558,Harrier,2500000,1,03/07/19,"763 1st St, Nairobi, CA, 10100"
40559,Harrier,2500000,1,03/27/19,"226 1st St, Thika, MA, 73301"
40560,Lexus,7500000,1,03/02/19,"554 5th St, Westland, WL, 23543"
40561,Voxy Wagon,4500000,1,03/23/19,"688 park St, Nairobi, CA, 10100"
40562,Range Rover,17000000,1,03/08/19,"20 4th St, Juja, JJ, 34532"
40563,Wish,1400000,1,03/21/19,"590 Maple St, Thika, MA, 73301"
40564,Harrier,2500000,1,03/08/19,"246 Pine St, Upperhill, UH, 90001"
40565,Harrier,2500000,1,03/06/19,"610 7th St, Nakuru, NY, 11000"
40566,Voxy Wagon,4500000,1,03/02/19,"83 7th St, Thika, MA, 73301"
40567,Voxy Wagon,4500000,1,03/17/19,"766 park St, Upperhill, UH, 90001"
40568,Harrier,2500000,1,03/13/19,"427 6th St, Kianyaga, KI, 04101"
40569,Mazda,900000,1,03/17/19,"50 Maple St, Thika, MA, 73301"
40570,Voxy Wagon,4500000,1,03/03/19,"117 2nd St, Westland, WL, 23543"
40571,Wish,1400000,1,03/08/19,"577 5th St, Kianyaga, KI, 04101"
40572,Harrier,2500000,1,03/17/19,"728 park St, Westland, WL, 23543"
40573,Van,2000000,1,03/02/19,"240 6th St, Westland, WL, 23543"
40574,Wish,1400000,1,03/23/19,"423 1st St, Eldoret, EL, 20345"
40575,Mazda,900000,1,03/03/19,"316 park St, Nairobi, CA, 10100"
40576,Van,2000000,1,03/31/19,"264 park St, Kianyaga, KI, 04101"
40577,Voxy Wagon,4500000,1,03/20/19,"410 1st St, Eldoret, EL, 20345"
40578,Wish,1400000,1,03/02/19,"326 7th St, Nairobi, CA, 10100"
40579,Wish,1400000,1,03/16/19,"354 1st St, Westland, WL, 23543"
40580,Van,2000000,1,03/10/19,"63 2nd St, Nairobi, CA, 10100"
40581,BMW,5000000,1,03/13/19,"305 5th St, Nairobi, CA, 10100"
40582,BMW,5000000,1,03/29/19,"18 1st St, Juja, JJ, 34532"
40583,Mazda,900000,1,03/09/19,"130 5th St, Nairobi, CA, 10100"
40584,Mercides,8000000,1,03/09/19,"496 1st St, Nairobi, CA, 10100"
40585,Saloon,1200000,1,03/28/19,"542 Main St, Kiambu, KA, 98200"
40586,Van,2000000,1,03/25/19,"24 5th St, Thika, MA, 73301"
40587,Saloon,1200000,1,03/21/19,"578 4th St, Kiambu, KA, 98200"
40588,Wish,1400000,1,03/03/19,"500 4th St, Westland, WL, 23543"
40589,Voxy Wagon,4500000,1,03/23/19,"463 5th St, Upperhill, UH, 90001"
40590,Wish,1400000,1,03/17/19,"592 2nd St, Thika, MA, 73301"
40591,Voxy Wagon,4500000,1,03/04/19,"187 1st St, Kianyaga, KI, 04101"
40592,Voxy Wagon,4500000,1,03/10/19,"611 2nd St, Westland, WL, 23543"
40593,Van,2000000,1,03/01/19,"324 6th St, Westland, WL, 23543"
40594,Mazda,900000,1,03/22/19,"666 5th St, Nairobi, CA, 10100"
40595,Saloon,1200000,1,03/20/19,"655 7th St, Kiambu, KA, 98200"
40596,Saloon,1200000,1,03/16/19,"691 5th St, Juja, JJ, 34532"
40597,Voxy Wagon,4500000,1,03/24/19,"488 park St, Upperhill, UH, 90001"
40598,Van,2000000,1,03/10/19,"251 8th St, Nairobi, CA, 10100"
40599,Saloon,1200000,1,03/06/19,"630 1st St, Thika, MA, 73301"
40600,Harrier,2500000,1,03/24/19,"150 2nd St, Westland, WL, 23543"
40601,Mazda,900000,1,03/04/19,"732 4th St, Nakuru, NY, 11000"
40602,Voxy Wagon,4500000,1,03/22/19,"566 Main St, Thika, MA, 73301"
40603,Voxy Wagon,4500000,1,03/25/19,"224 2nd St, Nakuru, NY, 11000"
40604,Voxy Wagon,4500000,1,03/27/19,"655 Maple St, Nairobi, CA, 10100"
40605,Mazda,900000,1,03/31/19,"171 1st St, Nairobi, CA, 10100"
40606,Saloon,1200000,1,03/26/19,"617 4th St, Nairobi, CA, 10100"
40607,Voxy Wagon,4500000,1,03/05/19,"719 Main St, Upperhill, UH, 90001"
40608,Voxy Wagon,4500000,1,03/26/19,"624 Pine St, Thika, MA, 73301"
40609,Saloon,1200000,1,03/27/19,"122 Pine St, Juja, JJ, 34532"
40610,Harrier,2500000,1,03/17/19,"352 1st St, Westland, WL, 23543"
40611,Saloon,1200000,1,03/31/19,"302 1st St, Upperhill, UH, 90001"
40612,Harrier,2500000,1,03/16/19,"750 5th St, Kianyaga, KI, 04101"
40613,Mazda,900000,1,03/27/19,"195 2nd St, Nairobi, CA, 10100"
40614,Van,2000000,1,03/16/19,"145 5th St, Nairobi, CA, 10100"
40615,Mercides,8000000,1,03/05/19,"584 4th St, Nakuru, NY, 11000"
40616,Mazda,900000,1,03/25/19,"734 Maple St, Nakuru, NY, 11000"
40617,Prado TX,4000000,1,03/09/19,"185 Main St, Nakuru, NY, 11000"
40618,Wish,1400000,1,03/25/19,"509 1st St, Kiambu, KA, 98200"
40619,Saloon,1200000,1,03/01/19,"168 6th St, Kiambu, KA, 98200"
40620,Saloon,1200000,1,03/07/19,"339 4th St, Nairobi, CA, 10100"
40621,Wish,1400000,1,03/11/19,"77 2nd St, Eldoret, EL, 20345"
40622,Mazda,900000,1,03/02/19,"749 Pine St, Eldoret, EL, 20345"
40623,Van,2000000,1,03/31/19,"486 Pine St, Westland, WL, 23543"
40624,Mazda,900000,1,03/04/19,"644 park St, Nairobi, CA, 10100"
40625,BMW,5000000,1,03/23/19,"474 2nd St, Kianyaga, KI, 04101"
40626,Wish,1400000,1,03/13/19,"241 6th St, Thika, MA, 73301"
40627,Mazda,900000,1,03/04/19,"443 4th St, Nairobi, CA, 10100"
40628,Harrier,2500000,1,03/05/19,"543 park St, Upperhill, UH, 90001"
40629,Range Rover,17000000,1,03/31/19,"485 park St, Westland, WL, 23543"
40630,Wish,1400000,1,03/27/19,"209 Pine St, Westland, WL, 23543"
40631,Van,2000000,1,03/31/19,"225 5th St, Nairobi, CA, 10100"
40632,Wish,1400000,1,03/09/19,"274 Maple St, Thika, MA, 73301"
40633,Mazda,900000,1,03/11/19,"203 8th St, Juja, JJ, 34532"
40634,Saloon,1200000,1,03/24/19,"493 2nd St, Westland, WL, 23543"
40635,Wish,1400000,1,03/30/19,"249 4th St, Upperhill, UH, 90001"
40636,Range Rover,17000000,1,03/18/19,"46 1st St, Nairobi, CA, 10100"
40637,Saloon,1200000,1,03/19/19,"236 Pine St, Kiambu, KA, 98200"
40638,Prado TX,4000000,1,03/24/19,"538 Maple St, Thika, MA, 73301"
40639,Wish,1400000,1,03/20/19,"720 6th St, Westland, WL, 23543"
40640,Voxy Wagon,4500000,1,03/28/19,"162 7th St, Thika, MA, 73301"
40641,Voxy Wagon,4500000,1,03/06/19,"656 8th St, Kiambu, KA, 98200"
40642,Van,2000000,1,03/07/19,"343 Pine St, Nairobi, CA, 10100"
40643,Prado TX,4000000,1,03/19/19,"498 Pine St, Westland, WL, 23543"
40644,Voxy Wagon,4500000,1,03/16/19,"109 8th St, Kianyaga, KI, 04101"
40645,Mazda,900000,1,03/05/19,"407 7th St, Nakuru, NY, 11000"
40646,Mercides,8000000,1,03/27/19,"479 5th St, Nairobi, CA, 10100"
40647,Saloon,1200000,1,03/06/19,"522 8th St, Nairobi, CA, 10100"
40648,Prado TX,4000000,1,03/09/19,"177 Maple St, Upperhill, UH, 90001"
40649,Mazda,900000,1,03/12/19,"533 Maple St, Nairobi, CA, 10100"
40650,Mazda,900000,1,03/16/19,"596 4th St, Thika, MA, 73301"
40651,Voxy Wagon,4500000,1,03/03/19,"123 6th St, Nairobi, CA, 10100"
40652,Prado TX,4000000,1,03/28/19,"601 park St, Upperhill, UH, 90001"
40653,Voxy Wagon,4500000,1,03/15/19,"95 Maple St, Nairobi, CA, 10100"
40654,Prado TX,4000000,1,03/31/19,"389 1st St, Kiambu, KA, 98200"
40655,BMW,5000000,1,03/24/19,"393 8th St, Upperhill, UH, 90001"
40656,Mazda,900000,1,03/16/19,"427 Pine St, Nairobi, CA, 10100"
40657,Harrier,2500000,1,03/16/19,"203 2nd St, Thika, MA, 73301"
40658,Saloon,1200000,1,03/31/19,"367 6th St, Kiambu, KA, 98200"
40659,Prado TX,4000000,1,03/24/19,"606 6th St, Thika, MA, 73301"
40660,Mazda,900000,1,03/17/19,"360 Main St, Nakuru, NY, 11000"
40661,Wish,1400000,1,03/12/19,"167 Main St, Thika, MA, 73301"
40662,Mazda,900000,1,03/07/19,"594 7th St, Juja, JJ, 34532"
40663,BMW,5000000,1,03/17/19,"476 1st St, Westland, WL, 23543"
40664,Mazda,900000,1,03/30/19,"150 2nd St, Thika, MA, 73301"
40665,BMW,5000000,1,03/17/19,"490 8th St, Nairobi, CA, 10100"
40666,Voxy Wagon,4500000,1,03/23/19,"681 5th St, Juja, JJ, 34532"
40667,Mazda,900000,1,03/03/19,"542 2nd St, Nairobi, CA, 10100"
40668,Mercides,8000000,1,03/05/19,"170 8th St, Nakuru, NY, 11000"
40669,Saloon,1200000,1,03/08/19,"699 Main St, Eldoret, EL, 20345"
40670,Voxy Wagon,4500000,1,03/08/19,"355 Pine St, Juja, JJ, 34532"
40671,Harrier,2500000,1,03/17/19,"654 8th St, Westland, WL, 23543"
40672,Saloon,1200000,1,03/07/19,"211 Pine St, Kiambu, KA, 98200"
40673,Van,2000000,1,03/01/19,"729 7th St, Kiambu, KA, 98200"
40674,Prado TX,4000000,1,03/28/19,"664 2nd St, Juja, JJ, 34532"
40675,Mazda,900000,1,03/15/19,"453 2nd St, Westland, WL, 23543"
40676,Voxy Wagon,4500000,1,03/09/19,"266 6th St, Westland, WL, 23543"
40677,Voxy Wagon,4500000,1,03/05/19,"210 4th St, Kiambu, KA, 98200"
40678,Lexus,7500000,1,03/06/19,"284 park St, Kianyaga, KI, 04101"
40679,Saloon,1200000,1,03/17/19,"455 park St, Upperhill, UH, 90001"
40680,Saloon,1200000,1,03/21/19,"610 7th St, Thika, MA, 73301"
40681,Prado TX,4000000,1,03/31/19,"68 2nd St, Westland, WL, 23543"
40682,Voxy Wagon,4500000,1,03/20/19,"96 1st St, Westland, WL, 23543"
40683,Prado TX,4000000,1,03/08/19,"383 8th St, Thika, MA, 73301"
40684,Prado TX,4000000,1,03/04/19,"194 7th St, Nairobi, CA, 10100"
40685,Mazda,900000,1,03/31/19,"154 Maple St, Nairobi, CA, 10100"
40686,Range Rover,17000000,1,03/27/19,"111 park St, Kiambu, KA, 98200"
40687,Mazda,900000,1,03/31/19,"511 5th St, Upperhill, UH, 90001"
40688,Mazda,900000,1,03/14/19,"176 park St, Eldoret, EL, 20345"
40689,Saloon,1200000,1,03/22/19,"390 8th St, Upperhill, UH, 90001"
40690,Prado TX,4000000,1,03/02/19,"723 1st St, Nairobi, CA, 10100"
40691,Prado TX,4000000,1,03/29/19,"152 8th St, Westland, WL, 23543"
40692,Mazda,900000,1,03/10/19,"399 6th St, Upperhill, UH, 90001"
40693,Voxy Wagon,4500000,1,03/07/19,"41 5th St, Thika, MA, 73301"
40694,Mazda,900000,1,03/27/19,"150 4th St, Westland, WL, 23543"
40695,Wish,1400000,1,03/10/19,"25 4th St, Kiambu, KA, 98200"
40696,Lexus,7500000,1,03/08/19,"8 7th St, Nairobi, CA, 10100"
40697,Van,2000000,1,03/15/19,"560 5th St, Juja, JJ, 34532"
40698,Wish,1400000,1,03/12/19,"434 1st St, Thika, MA, 73301"
40699,Van,2000000,1,03/15/19,"163 4th St, Eldoret, EL, 20345"
40700,Wish,1400000,1,03/16/19,"5 8th St, Upperhill, UH, 90001"
40701,Wish,1400000,1,03/30/19,"156 Maple St, Juja, JJ, 34532"
40702,Voxy Wagon,4500000,1,03/27/19,"422 park St, Upperhill, UH, 90001"
40703,Voxy Wagon,4500000,1,03/21/19,"598 8th St, Kiambu, KA, 98200"
40704,Mazda,900000,1,03/11/19,"82 6th St, Nairobi, CA, 10100"
40705,Prado TX,4000000,1,03/28/19,"398 7th St, Juja, JJ, 34532"
40706,Saloon,1200000,1,03/09/19,"458 Maple St, Westland, WL, 23543"
40707,Harrier,2500000,1,03/04/19,"541 Main St, Kiambu, KA, 98200"
40708,Saloon,1200000,1,03/27/19,"518 2nd St, Thika, MA, 73301"
40709,Voxy Wagon,4500000,1,03/02/19,"443 Main St, Westland, WL, 23543"
40710,Voxy Wagon,4500000,1,03/17/19,"209 7th St, Thika, MA, 73301"
40711,Mazda,900000,1,03/08/19,"28 Main St, Nairobi, CA, 10100"
40712,Range Rover,17000000,1,03/31/19,"562 6th St, Nairobi, CA, 10100"
40713,Voxy Wagon,4500000,1,03/03/19,"756 7th St, Eldoret, EL, 20345"
40714,Mazda,900000,1,03/09/19,"536 2nd St, Eldoret, EL, 20345"
40715,Harrier,2500000,1,03/13/19,"595 4th St, Nairobi, CA, 10100"
40716,Lexus,7500000,1,03/08/19,"65 7th St, Thika, MA, 73301"
40717,Mercides,8000000,1,03/04/19,"357 park St, Upperhill, UH, 90001"
40718,Saloon,1200000,1,03/26/19,"520 2nd St, Nakuru, NY, 11000"
40719,Wish,1400000,1,03/23/19,"533 2nd St, Westland, WL, 23543"
40720,Lexus,7500000,1,03/04/19,"224 2nd St, Juja, JJ, 34532"
40721,Saloon,1200000,1,03/07/19,"348 Main St, Nairobi, CA, 10100"
40722,Voxy Wagon,4500000,1,03/02/19,"729 6th St, Nairobi, CA, 10100"
40723,Mazda,900000,1,03/08/19,"580 Pine St, Westland, WL, 23543"
40724,Saloon,1200000,1,03/12/19,"507 park St, Thika, MA, 73301"
40725,Mazda,900000,1,03/12/19,"78 8th St, Thika, MA, 73301"
40726,Mazda,900000,1,03/27/19,"375 Pine St, Nakuru, NY, 11000"
40727,Wish,1400000,1,03/19/19,"765 1st St, Thika, MA, 73301"
40728,Saloon,1200000,1,03/13/19,"554 1st St, Thika, MA, 73301"
40729,Mazda,900000,1,03/07/19,"686 4th St, Nairobi, CA, 10100"
40730,Mazda,900000,1,03/04/19,"755 2nd St, Upperhill, UH, 90001"
40731,Saloon,1200000,1,03/24/19,"364 Maple St, Westland, WL, 23543"
40732,Wish,1400000,1,03/04/19,"370 park St, Nairobi, CA, 10100"
40733,Saloon,1200000,1,03/30/19,"776 6th St, Thika, MA, 73301"
40734,Mazda,900000,1,03/11/19,"48 1st St, Upperhill, UH, 90001"
40735,Saloon,1200000,1,03/08/19,"487 5th St, Westland, WL, 23543"
40736,Wish,1400000,1,03/25/19,"544 6th St, Juja, JJ, 34532"
40737,Van,2000000,1,03/24/19,"539 6th St, Upperhill, UH, 90001"
40738,Harrier,2500000,1,03/06/19,"271 6th St, Eldoret, EL, 20345"
40739,Saloon,1200000,1,03/23/19,"562 Pine St, Thika, MA, 73301"
40740,Mazda,900000,1,03/18/19,"55 5th St, Nakuru, NY, 11000"
40741,Mazda,900000,1,03/02/19,"135 Maple St, Nairobi, CA, 10100"
40742,Voxy Wagon,4500000,1,03/19/19,"536 6th St, Juja, JJ, 34532"
40743,Saloon,1200000,1,03/10/19,"483 7th St, Thika, MA, 73301"
40744,Saloon,1200000,1,03/29/19,"713 4th St, Kianyaga, KI, 04101"
40745,Wish,1400000,1,03/30/19,"241 4th St, Nakuru, NY, 11000"
40746,Saloon,1200000,1,03/04/19,"161 1st St, Nairobi, CA, 10100"
40747,BMW,5000000,1,03/23/19,"162 7th St, Nairobi, CA, 10100"
40748,Lexus,7500000,1,03/10/19,"194 Main St, Upperhill, UH, 90001"
40749,Range Rover,17000000,1,03/07/19,"663 park St, Upperhill, UH, 90001"
40750,Lexus,7500000,1,03/19/19,"356 5th St, Juja, JJ, 34532"
40751,Harrier,2500000,1,03/27/19,"527 4th St, Juja, JJ, 34532"
40752,Mazda,900000,1,03/22/19,"67 Main St, Westland, WL, 23543"
40753,Mercides,8000000,1,03/16/19,"547 7th St, Thika, MA, 73301"
40754,Wish,1400000,1,03/12/19,"352 1st St, Upperhill, UH, 90001"
40755,Saloon,1200000,1,03/30/19,"768 1st St, Juja, JJ, 34532"
40756,Lexus,7500000,1,03/19/19,"292 park St, Nairobi, CA, 10100"
40757,Mazda,900000,1,03/19/19,"107 8th St, Kianyaga, KI, 04101"
40758,Saloon,1200000,1,03/05/19,"134 5th St, Kiambu, KA, 98200"
40759,Voxy Wagon,4500000,1,03/10/19,"492 4th St, Nairobi, CA, 10100"
40760,Saloon,1200000,1,03/21/19,"146 2nd St, Nakuru, NY, 11000"
40761,Mazda,900000,1,03/15/19,"319 7th St, Thika, MA, 73301"
40762,Wish,1400000,1,03/16/19,"215 2nd St, Westland, WL, 23543"
40763,Wish,1400000,1,03/27/19,"653 Main St, Kiambu, KA, 98200"
40764,Saloon,1200000,1,03/31/19,"686 4th St, Eldoret, EL, 20345"
40765,Lexus,7500000,1,03/28/19,"671 Main St, Westland, WL, 23543"
40766,Wish,1400000,1,03/23/19,"204 park St, Kiambu, KA, 98200"
40767,Saloon,1200000,1,03/29/19,"779 8th St, Nakuru, NY, 11000"
40768,BMW,5000000,1,03/06/19,"304 1st St, Kiambu, KA, 98200"
40769,Wish,1400000,1,03/23/19,"698 Main St, Nakuru, NY, 11000"
40770,Voxy Wagon,4500000,1,03/27/19,"518 6th St, Westland, WL, 23543"
40771,Harrier,2500000,1,03/23/19,"718 2nd St, Nairobi, CA, 10100"
40772,Mazda,900000,1,03/27/19,"720 7th St, Nairobi, CA, 10100"
40773,Van,2000000,1,03/31/19,"290 Pine St, Thika, MA, 73301"
40774,Voxy Wagon,4500000,1,03/09/19,"253 2nd St, Nairobi, CA, 10100"
40775,Mazda,900000,1,03/12/19,"655 7th St, Thika, MA, 73301"
40776,Wish,1400000,1,03/30/19,"164 6th St, Eldoret, EL, 20345"
40777,Van,2000000,1,03/31/19,"760 park St, Westland, WL, 23543"
40778,BMW,5000000,1,03/08/19,"85 Maple St, Nakuru, NY, 11000"
40779,Harrier,2500000,1,03/16/19,"186 5th St, Westland, WL, 23543"
40780,Saloon,1200000,1,03/30/19,"641 7th St, Nakuru, NY, 11000"
40781,Van,2000000,1,03/02/19,"600 2nd St, Upperhill, UH, 90001"
40782,Voxy Wagon,4500000,1,03/12/19,"22 4th St, Thika, MA, 73301"
40783,Mazda,900000,1,03/26/19,"467 Main St, Nairobi, CA, 10100"
40784,Mercides,8000000,1,03/25/19,"160 park St, Nairobi, CA, 10100"
40785,Voxy Wagon,4500000,1,03/27/19,"136 Main St, Nairobi, CA, 10100"
40786,Range Rover,17000000,1,03/06/19,"214 Maple St, Westland, WL, 23543"
40787,Saloon,1200000,1,03/16/19,"97 8th St, Westland, WL, 23543"
40788,Wish,1400000,1,03/16/19,"476 5th St, Nairobi, CA, 10100"
40789,Wish,1400000,1,03/27/19,"229 8th St, Thika, MA, 73301"
40790,Range Rover,17000000,1,03/26/19,"235 Main St, Westland, WL, 23543"
40791,BMW,5000000,1,03/07/19,"537 4th St, Upperhill, UH, 90001"
40792,Lexus,7500000,1,03/10/19,"590 Maple St, Westland, WL, 23543"
40793,Saloon,1200000,1,03/13/19,"303 5th St, Eldoret, EL, 20345"
40794,Wish,1400000,1,03/01/19,"5 1st St, Thika, MA, 73301"
40795,Van,2000000,1,03/05/19,"520 6th St, Westland, WL, 23543"
40796,Saloon,1200000,1,03/29/19,"459 5th St, Thika, MA, 73301"
40797,BMW,5000000,1,03/14/19,"690 Maple St, Westland, WL, 23543"
40798,Mazda,900000,1,03/05/19,"702 8th St, Juja, JJ, 34532"
40799,Wish,1400000,1,03/20/19,"772 2nd St, Nairobi, CA, 10100"
40800,Wish,1400000,1,03/13/19,"56 4th St, Nairobi, CA, 10100"
40801,Van,2000000,1,03/05/19,"613 8th St, Nairobi, CA, 10100"
40802,Mazda,900000,1,03/20/19,"339 park St, Upperhill, UH, 90001"
40803,Prado TX,4000000,1,03/05/19,"737 Maple St, Thika, MA, 73301"
40804,Saloon,1200000,1,03/04/19,"8 7th St, Upperhill, UH, 90001"
40805,Prado TX,4000000,1,03/21/19,"663 7th St, Thika, MA, 73301"
40806,Mazda,900000,1,03/09/19,"278 6th St, Juja, JJ, 34532"
40807,Mazda,900000,1,03/31/19,"459 Pine St, Upperhill, UH, 90001"
40808,Saloon,1200000,1,03/19/19,"330 park St, Thika, MA, 73301"
40809,Voxy Wagon,4500000,1,03/21/19,"450 park St, Nairobi, CA, 10100"
40810,Saloon,1200000,1,03/19/19,"553 Pine St, Upperhill, UH, 90001"
40811,Van,2000000,1,03/22/19,"338 7th St, Westland, WL, 23543"
40812,Wish,1400000,1,03/11/19,"366 Pine St, Juja, JJ, 34532"
40813,Wish,1400000,1,03/03/19,"196 6th St, Juja, JJ, 34532"
40814,Prado TX,4000000,1,03/06/19,"657 4th St, Thika, MA, 73301"
40815,Mazda,900000,1,03/27/19,"681 Main St, Kiambu, KA, 98200"
40816,Mazda,900000,1,03/09/19,"502 8th St, Juja, JJ, 34532"
40817,Wish,1400000,1,03/30/19,"110 8th St, Upperhill, UH, 90001"
40818,Lexus,7500000,1,03/01/19,"727 Maple St, Thika, MA, 73301"
40819,Harrier,2500000,1,03/20/19,"185 Main St, Nairobi, CA, 10100"
40820,Lexus,7500000,1,03/27/19,"337 2nd St, Thika, MA, 73301"
40821,Wish,1400000,1,03/27/19,"660 5th St, Upperhill, UH, 90001"
40822,Saloon,1200000,1,03/26/19,"283 8th St, Nairobi, CA, 10100"
40823,Voxy Wagon,4500000,1,03/11/19,"24 Main St, Kiambu, KA, 98200"
40824,Harrier,2500000,1,03/26/19,"327 Main St, Nairobi, CA, 10100"
40825,Wish,1400000,1,03/07/19,"399 5th St, Upperhill, UH, 90001"
40826,Wish,1400000,1,03/13/19,"518 Maple St, Thika, MA, 73301"
40827,Saloon,1200000,1,03/12/19,"329 4th St, Kiambu, KA, 98200"
40828,Harrier,2500000,1,03/21/19,"294 2nd St, Juja, JJ, 34532"
40829,Voxy Wagon,4500000,1,03/09/19,"174 4th St, Nakuru, NY, 11000"
40830,Van,2000000,1,03/07/19,"780 Main St, Westland, WL, 23543"
40831,Voxy Wagon,4500000,1,03/11/19,"717 7th St, Nairobi, CA, 10100"
40832,Voxy Wagon,4500000,1,03/15/19,"433 6th St, Upperhill, UH, 90001"
40833,Lexus,7500000,1,03/01/19,"566 4th St, Thika, MA, 73301"
40834,Mazda,900000,1,03/02/19,"168 7th St, Westland, WL, 23543"
40835,Saloon,1200000,1,03/29/19,"335 6th St, Nakuru, NY, 11000"
40836,Voxy Wagon,4500000,1,03/11/19,"713 5th St, Thika, MA, 73301"
40837,Harrier,2500000,1,03/15/19,"64 6th St, Thika, MA, 73301"
40838,Voxy Wagon,4500000,1,03/17/19,"658 7th St, Juja, JJ, 34532"
40839,Mazda,900000,1,03/08/19,"65 Main St, Nairobi, CA, 10100"
40840,Harrier,2500000,1,03/31/19,"220 Pine St, Nairobi, CA, 10100"
40841,Saloon,1200000,1,03/02/19,"260 5th St, Kiambu, KA, 98200"
40842,Wish,1400000,1,03/05/19,"711 4th St, Juja, JJ, 34532"
40843,Wish,1400000,1,03/02/19,"206 Pine St, Upperhill, UH, 90001"
40844,Van,2000000,1,03/08/19,"685 4th St, Thika, MA, 73301"
40845,Wish,1400000,1,03/11/19,"620 8th St, Westland, WL, 23543"
40846,Mazda,900000,1,03/10/19,"542 5th St, Juja, JJ, 34532"
40847,Wish,1400000,1,03/13/19,"16 8th St, Juja, JJ, 34532"
40848,Mazda,900000,1,03/19/19,"180 4th St, Nairobi, CA, 10100"
40849,Voxy Wagon,4500000,1,03/10/19,"2 5th St, Kiambu, KA, 98200"
40850,Saloon,1200000,1,03/30/19,"757 1st St, Westland, WL, 23543"
40851,Saloon,1200000,1,03/17/19,"312 7th St, Upperhill, UH, 90001"
40852,Voxy Wagon,4500000,1,03/12/19,"285 Main St, Thika, MA, 73301"
40853,Mazda,900000,1,03/09/19,"359 Pine St, Thika, MA, 73301"
40854,Saloon,1200000,1,03/24/19,"742 8th St, Kianyaga, KI, 04101"
40855,Harrier,2500000,1,03/24/19,"472 1st St, Upperhill, UH, 90001"
40856,Van,2000000,1,03/13/19,"725 Maple St, Nakuru, NY, 11000"
40857,Prado TX,4000000,1,03/14/19,"196 Pine St, Nairobi, CA, 10100"
40858,Wish,1400000,1,03/08/19,"84 Pine St, Upperhill, UH, 90001"
40859,Lexus,7500000,1,03/08/19,"417 Maple St, Upperhill, UH, 90001"
40860,Wish,1400000,1,03/15/19,"306 7th St, Nairobi, CA, 10100"
40861,Wish,1400000,1,03/03/19,"53 7th St, Nairobi, CA, 10100"
40862,Saloon,1200000,1,03/19/19,"194 Maple St, Upperhill, UH, 90001"
40863,Mazda,900000,1,03/19/19,"516 Pine St, Nairobi, CA, 10100"
40864,Wish,1400000,1,03/15/19,"251 1st St, Thika, MA, 73301"
40865,Van,2000000,1,03/03/19,"507 5th St, Upperhill, UH, 90001"
40866,Saloon,1200000,1,03/17/19,"696 6th St, Nakuru, NY, 11000"
40867,Voxy Wagon,4500000,1,03/26/19,"458 Pine St, Kianyaga, KI, 04101"
40868,Saloon,1200000,1,03/07/19,"247 8th St, Nairobi, CA, 10100"
40869,Wish,1400000,1,03/24/19,"172 8th St, Kiambu, KA, 98200"
40870,Mazda,900000,1,03/17/19,"5 1st St, Thika, MA, 73301"
40871,Mazda,900000,1,03/22/19,"734 7th St, Westland, WL, 23543"
40872,Prado TX,4000000,1,03/09/19,"646 1st St, Nairobi, CA, 10100"
40873,Saloon,1200000,1,03/02/19,"703 Main St, Nairobi, CA, 10100"
40874,Prado TX,4000000,1,03/22/19,"577 Pine St, Thika, MA, 73301"
40875,Wish,1400000,1,03/25/19,"511 4th St, Upperhill, UH, 90001"
40876,Wish,1400000,1,03/27/19,"655 5th St, Thika, MA, 73301"
40877,Lexus,7500000,1,03/30/19,"55 Main St, Thika, MA, 73301"
40878,Wish,1400000,1,03/14/19,"299 4th St, Upperhill, UH, 90001"
40879,Van,2000000,1,03/26/19,"81 2nd St, Nairobi, CA, 10100"
