Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
77893,Van,2000000,1,05/08/19,"199 Main St, Juja, JJ, 34532"
77894,Saloon,1200000,1,05/21/19,"280 Main St, Upperhill, UH, 90001"
77895,BMW,5000000,1,05/11/19,"247 2nd St, Nakuru, NY, 11000"
77896,Saloon,1200000,1,05/12/19,"580 1st St, Nairobi, CA, 10100"
77897,Harrier,2500000,1,05/09/19,"113 2nd St, Juja, JJ, 34532"
77898,Mazda,900000,1,05/05/19,"265 park St, Juja, JJ, 34532"
77899,Voxy Wagon,4500000,1,05/19/19,"241 4th St, Juja, JJ, 34532"
77900,Lexus,7500000,1,05/21/19,"204 1st St, Eldoret, EL, 20345"
77901,Lexus,7500000,1,05/13/19,"381 Pine St, Nakuru, NY, 11000"
77902,Prado TX,4000000,1,05/05/19,"241 4th St, Nakuru, NY, 11000"
77903,Harrier,2500000,1,05/21/19,"103 4th St, Thika, MA, 73301"
77904,Prado TX,4000000,1,05/22/19,"68 park St, Upperhill, UH, 90001"
77905,Mazda,900000,1,05/07/19,"619 4th St, Kiambu, KA, 98200"
77906,Prado TX,4000000,1,05/19/19,"461 5th St, Nairobi, CA, 10100"
77907,Mazda,900000,1,05/15/19,"636 6th St, Thika, MA, 73301"
77908,Mazda,900000,1,05/21/19,"310 Pine St, Nakuru, NY, 11000"
77909,Harrier,2500000,1,05/06/19,"120 4th St, Upperhill, UH, 90001"
77910,Prado TX,4000000,1,05/12/19,"674 Maple St, Kiambu, KA, 98200"
77911,Wish,1400000,1,05/15/19,"567 7th St, Nakuru, NY, 11000"
77912,Wish,1400000,1,05/19/19,"452 Pine St, Nairobi, CA, 10100"
77913,Van,2000000,1,05/30/19,"645 Main St, Westland, WL, 23543"
77914,Mazda,900000,1,05/10/19,"723 2nd St, Westland, WL, 23543"
77915,BMW,5000000,1,05/04/19,"144 Maple St, Kianyaga, KI, 04101"
77916,Prado TX,4000000,1,05/21/19,"516 5th St, Nairobi, CA, 10100"
77917,Van,2000000,1,05/02/19,"67 park St, Nakuru, NY, 11000"
77918,Saloon,1200000,1,05/12/19,"6 2nd St, Kiambu, KA, 98200"
77919,Prado TX,4000000,1,05/23/19,"516 4th St, Upperhill, UH, 90001"
77920,Saloon,1200000,1,05/08/19,"60 park St, Nakuru, NY, 11000"
77921,Wish,1400000,1,05/24/19,"519 Maple St, Juja, JJ, 34532"
77922,Van,2000000,1,05/22/19,"330 park St, Juja, JJ, 34532"
77923,Harrier,2500000,1,05/25/19,"423 4th St, Nairobi, CA, 10100"
77924,Mazda,900000,1,05/20/19,"777 5th St, Nakuru, NY, 11000"
77925,Voxy Wagon,4500000,1,05/03/19,"348 Main St, Upperhill, UH, 90001"
77926,Harrier,2500000,1,05/15/19,"585 Main St, Thika, MA, 73301"
77927,Mazda,900000,1,05/14/19,"4 Main St, Upperhill, UH, 90001"
77928,Mazda,900000,1,05/06/19,"700 park St, Nairobi, CA, 10100"
77929,Mazda,900000,1,05/26/19,"514 park St, Upperhill, UH, 90001"
77930,Mazda,900000,1,05/13/19,"613 Maple St, Thika, MA, 73301"
77931,Harrier,2500000,1,05/14/19,"447 7th St, Juja, JJ, 34532"
77932,Wish,1400000,1,05/27/19,"2 6th St, Nairobi, CA, 10100"
77933,Range Rover,17000000,1,05/10/19,"130 Main St, Thika, MA, 73301"
77934,Mazda,900000,1,05/05/19,"577 Maple St, Juja, JJ, 34532"
77935,Prado TX,4000000,1,05/21/19,"160 2nd St, Juja, JJ, 34532"
77936,Voxy Wagon,4500000,1,05/22/19,"16 Pine St, Thika, MA, 73301"
77937,Prado TX,4000000,1,05/21/19,"434 Pine St, Nairobi, CA, 10100"
77938,Wish,1400000,1,05/04/19,"365 park St, Thika, MA, 73301"
77939,Prado TX,4000000,1,05/22/19,"579 Pine St, Eldoret, EL, 20345"
77940,Voxy Wagon,4500000,1,05/11/19,"544 Maple St, Nakuru, NY, 11000"
77941,Mazda,900000,1,05/22/19,"568 park St, Thika, MA, 73301"
77942,Harrier,2500000,1,05/25/19,"588 8th St, Thika, MA, 73301"
