Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
184810,Saloon,1200000,1,11/15/19,"95 1st St, Juja, JJ, 34532"
184811,Mazda,900000,1,11/10/19,"585 4th St, Upperhill, UH, 90001"
184812,Van,2000000,1,11/29/19,"14 Maple St, Upperhill, UH, 90001"
184813,Voxy Wagon,4500000,1,11/02/19,"72 5th St, Nairobi, CA, 10100"
184814,Mazda,900000,1,11/24/19,"468 8th St, Kiambu, KA, 98200"
184815,Voxy Wagon,4500000,1,11/22/19,"66 5th St, Upperhill, UH, 90001"
184816,Mazda,900000,1,11/21/19,"322 4th St, Westland, WL, 23543"
184817,Mercides,8000000,1,11/07/19,"223 4th St, Juja, JJ, 34532"
184818,Range Rover,17000000,1,11/05/19,"630 2nd St, Juja, JJ, 34532"
184819,Van,2000000,1,11/16/19,"728 8th St, Thika, MA, 73301"
184820,Voxy Wagon,4500000,1,11/26/19,"474 8th St, Juja, JJ, 34532"
184821,Saloon,1200000,1,11/07/19,"127 1st St, Thika, MA, 73301"
184822,Harrier,2500000,1,11/23/19,"332 5th St, Kiambu, KA, 98200"
184823,Harrier,2500000,1,11/01/19,"213 7th St, Upperhill, UH, 90001"
184824,Saloon,1200000,1,11/29/19,"776 1st St, Nairobi, CA, 10100"
184825,Harrier,2500000,1,11/01/19,"700 4th St, Upperhill, UH, 90001"
184826,Harrier,2500000,1,11/17/19,"127 Maple St, Upperhill, UH, 90001"
184827,Mazda,900000,1,11/14/19,"406 2nd St, Kiambu, KA, 98200"
184828,Mercides,8000000,1,11/26/19,"73 6th St, Nairobi, CA, 10100"
184829,Lexus,7500000,1,11/19/19,"195 4th St, Thika, MA, 73301"
184830,Prado TX,4000000,1,11/19/19,"21 1st St, Westland, WL, 23543"
184831,Mazda,900000,1,11/18/19,"212 4th St, Nakuru, NY, 11000"
184832,BMW,5000000,1,11/27/19,"523 Main St, Nairobi, CA, 10100"
184833,Harrier,2500000,1,11/14/19,"603 Main St, Juja, JJ, 34532"
184834,Prado TX,4000000,1,11/20/19,"428 Maple St, Nairobi, CA, 10100"
184835,Mazda,900000,1,11/23/19,"370 4th St, Nairobi, CA, 10100"
184836,Range Rover,17000000,1,11/10/19,"250 2nd St, Kiambu, KA, 98200"
184837,Harrier,2500000,1,11/05/19,"698 park St, Thika, MA, 73301"
184838,Mazda,900000,1,11/08/19,"165 8th St, Kianyaga, KI, 04101"
184839,Prado TX,4000000,1,11/19/19,"219 5th St, Nakuru, NY, 11000"
184840,Lexus,7500000,1,11/03/19,"736 1st St, Upperhill, UH, 90001"
184841,Saloon,1200000,1,11/24/19,"478 7th St, Westland, WL, 23543"
184842,Saloon,1200000,1,11/19/19,"674 8th St, Juja, JJ, 34532"
184843,Saloon,1200000,1,11/04/19,"5 Pine St, Juja, JJ, 34532"
184844,Mazda,900000,1,11/17/19,"272 4th St, Kiambu, KA, 98200"
184845,Van,2000000,1,11/09/19,"211 4th St, Upperhill, UH, 90001"
184846,Prado TX,4000000,1,11/10/19,"143 7th St, Thika, MA, 73301"
