Order_ID,product,Price,Quantity Ordered,Order Date,Purchase Address
168064,Harrier,2500000,1,10/26/19,"487 1st St, Westland, WL, 23543"
168065,BMW,5000000,1,10/30/19,"615 park St, Nairobi, CA, 10100"
168066,Van,2000000,1,10/19/19,"225 8th St, Kianyaga, KI, 04101"
168067,Lexus,7500000,1,10/21/19,"616 7th St, Thika, MA, 73301"
168068,Mazda,900000,1,10/12/19,"331 1st St, Westland, WL, 23543"
168069,Voxy Wagon,4500000,1,10/23/19,"559 Main St, Juja, JJ, 34532"
168070,BMW,5000000,1,10/05/19,"45 Maple St, Upperhill, UH, 90001"
168071,Mazda,900000,1,10/07/19,"508 2nd St, Juja, JJ, 34532"
168072,Wish,1400000,1,10/11/19,"545 park St, Juja, JJ, 34532"
168073,Voxy Wagon,4500000,1,10/14/19,"233 park St, Nairobi, CA, 10100"
168074,Saloon,1200000,1,10/29/19,"251 1st St, Thika, MA, 73301"
168075,Voxy Wagon,4500000,1,10/28/19,"193 Maple St, Nakuru, NY, 11000"
168076,Harrier,2500000,1,10/24/19,"653 5th St, Juja, JJ, 34532"
168077,Saloon,1200000,1,10/06/19,"684 Main St, Nairobi, CA, 10100"
168078,Prado TX,4000000,1,10/19/19,"77 1st St, Nairobi, CA, 10100"
168079,Van,2000000,1,10/18/19,"241 1st St, Thika, MA, 73301"
168080,Harrier,2500000,1,10/16/19,"254 park St, Westland, WL, 23543"
168081,Harrier,2500000,1,10/02/19,"119 1st St, Eldoret, EL, 20345"
168082,Wish,1400000,1,10/04/19,"653 2nd St, Nakuru, NY, 11000"
168083,Prado TX,4000000,1,10/29/19,"52 6th St, Juja, JJ, 34532"
168084,Range Rover,17000000,1,10/04/19,"298 Pine St, Nairobi, CA, 10100"
168085,Van,2000000,1,10/26/19,"85 park St, Thika, MA, 73301"
168086,Voxy Wagon,4500000,1,10/25/19,"713 5th St, Upperhill, UH, 90001"
168087,Wish,1400000,1,10/02/19,"262 Pine St, Upperhill, UH, 90001"
168088,Van,2000000,1,10/24/19,"524 1st St, Nakuru, NY, 11000"
168089,Prado TX,4000000,1,10/23/19,"220 Main St, Upperhill, UH, 90001"
168090,Prado TX,4000000,1,10/21/19,"429 4th St, Kiambu, KA, 98200"
168091,Prado TX,4000000,1,10/31/19,"453 6th St, Upperhill, UH, 90001"
168092,Voxy Wagon,4500000,1,10/04/19,"119 park St, Nakuru, NY, 11000"
168093,Voxy Wagon,4500000,1,10/13/19,"714 7th St, Upperhill, UH, 90001"
168094,Wish,1400000,1,10/30/19,"57 6th St, Thika, MA, 73301"
168095,Voxy Wagon,4500000,1,10/04/19,"650 Maple St, Nakuru, NY, 11000"
168096,Wish,1400000,1,10/09/19,"237 7th St, Upperhill, UH, 90001"
168097,Prado TX,4000000,1,10/09/19,"721 6th St, Kiambu, KA, 98200"
168098,Harrier,2500000,1,10/11/19,"591 Main St, Thika, MA, 73301"
168099,Mazda,900000,1,10/21/19,"545 Maple St, Upperhill, UH, 90001"
